match_id,hero,role,lane,midas_team,buy_sec,ref_bucket,nw_diff_raw,midas_nw_adv,total_nw,nw_adv_pct_total,nw_adv_pct_buyer,band,band_label,expected_win,actual_win,delta
8716601273,ogre_magi,Support,Offlane,dire,1419,1380,14728,-14728,88846,-16.58,-39.74,1,5-10%,0.0597,0,-0.0597
8716601311,ogre_magi,Support,Offlane,dire,1019,960,-2862,2862,53660,5.33,10.13,13,65-70%,0.6379,1,0.3621
8716601364,ogre_magi,Support,Safelane,radiant,1025,990,1588,1588,56348,2.82,5.48,11,55-60%,0.5932,0,-0.5932
8716601403,ogre_magi,Support,Safelane,radiant,1343,1290,-6611,-6611,63403,-10.43,-23.28,4,20-25%,0.2438,0,-0.2438
8716601503,invoker,Core,Mid,radiant,483,450,-2773,-2773,21785,-12.73,-29.17,0,0-5%,0.1691,1,0.8309
8716601512,lion,Support,Safelane,radiant,943,900,-1302,-1302,46360,-2.81,-5.78,7,35-40%,0.4158,1,0.5842
8716601519,zuus,Support,Safelane,dire,1193,1140,2125,-2125,69435,-3.06,-6.31,6,30-35%,0.3734,0,-0.3734
8716601698,snapfire,Support,Safelane,radiant,1816,1770,-4251,-4251,110771,-3.84,-7.98,7,35-40%,0.3417,0,-0.3417
8716601726,invoker,Core,Mid,radiant,621,570,-2406,-2406,28760,-8.37,-18.26,2,10-15%,0.2783,1,0.7217
8716601741,ogre_magi,Core,Mid,dire,839,780,2418,-2418,36406,-6.64,-14.23,4,20-25%,0.3145,1,0.6855
